announcement_id,company,title,publish_date,pdf_size_bytes,txt_size_bytes,ocr_quality,content_type
1225349023,交通银行,国泰君通证券关于交通银行关联交易的核查意见,2026-06-04,9099277,4941,SCANNED_POOR,关联交易核查意见
1224834908,保利发展,向特定对象发行可转债第二次临时托管报告（2025年度）,2025-11-29,328867,6517,TEXT_GOOD,托管报告
1224858608,保利发展,向特定对象发行可转债第三次临时托管报告（2025年度）,2025-12-09,282890,5314,TEXT_GOOD,托管报告
1224874965,保利发展,2025年9月30日前次募集资金使用情况鉴证报告,2025-12-13,21663862,9553,SCANNED_POOR,募集资金鉴证报告
1223374349,国电南瑞,2024年关联交易存款贷款等金融服务专项说明,2025-04-29,4850023,2884,SCANNED_POOR,关联交易专项说明
1223374358,国电南瑞,2024年审计报告,2025-04-29,49873776,331337,SCANNED_OK,年度审计报告
1223374378,国电南瑞,2024年内部控制审计报告,2025-04-29,1021804,1801,SCANNED_OK,内控审计报告
1223374380,国电南瑞,2024年非经营性资金占用及其他关联资金往来专项说明,2025-04-29,10354929,8742,SCANNED_POOR,资金占用专项说明
1223374384,国电南瑞,募集资金年度存放与使用情况鉴证报告,2025-04-29,10575288,27055,SCANNED_OK,募集资金鉴证报告
1225257829,国电南瑞,2025年关联交易存款贷款等金融服务专项说明,2026-04-30,4965678,2630,SCANNED_POOR,关联交易专项说明
1225257938,国电南瑞,2025年非经营性资金占用及其他关联资金往来专项审核报告,2026-04-30,12629242,9040,SCANNED_POOR,资金占用专项审核报告
1225257952,国电南瑞,2025年内部控制审计报告,2026-04-30,257130,1136,SCANNED_OK,内控审计报告
1225258049,国电南瑞,2025年审计报告,2026-04-30,62457314,232694,SCANNED_OK,年度审计报告
1225258056,国电南瑞,2025年公司募集资金存放与实际使用情况鉴证报告,2026-04-30,37902983,28462,SCANNED_POOR,募集资金鉴证报告
1224018678,工商银行,金杜律师关于工商银行2024年度股东大会法律意见书,2025-06-28,541287,10521,TEXT_GOOD,股东大会法律意见书
1224717031,工商银行,金杜律师关于工商银行2025年第一次临时股东大会法律意见书,2025-10-17,393543,8850,TEXT_GOOD,股东大会法律意见书
1224834763,工商银行,金杜律师关于工商银行2025年第二次临时股东大会法律意见书,2025-11-29,334588,7413,TEXT_GOOD,股东大会法律意见书
1225165933,工商银行,金杜律师关于工商银行2026年第一次临时股东大会法律意见书,2026-04-24,342358,7627,TEXT_GOOD,股东大会法律意见书
1224299594,恒瑞医药,恒瑞医药收购盛迪医药股权资产评估报告,2025-07-26,14877111,48699,SCANNED_OK,资产评估报告
1222675659,海光信息,2024年审计报告,2025-03-01,49610543,331337,SCANNED_OK,年度审计报告
1222675665,海光信息,2024年募集资金存放与使用专项报告鉴证报告,2025-03-01,13342240,37496,SCANNED_OK,募集资金鉴证报告
1222675669,海光信息,2024年内部控制审计报告,2025-03-01,6241851,4397,SCANNED_POOR,内控审计报告
1224906222,海光信息,重大资产重组内幕信息知情人自查报告专项核查意见,2025-12-30,1078630,4112,SCANNED_OK,内幕知情人核查意见
1224616033,海天味业,中伦律师关于海天味业2025年A股员工持股计划法律意见书,2025-08-29,2507572,9934,SCANNED_OK,员工持股法律意见书
1224645316,海天味业,中伦律师关于海天味业2025年A股员工持股计划法律意见书,2025-09-09,2519370,10201,SCANNED_OK,员工持股法律意见书
1224666650,海天味业,海天味业2025年差异化分红法律意见书,2025-09-18,3597897,5200,SCANNED_OK,分红法律意见书
1224682921,海天味业,海天味业2025年第一次临时股东大会法律意见书,2025-09-26,3295927,4652,SCANNED_OK,股东大会法律意见书
1225038220,海天味业,中伦律师关于海天味业2026年A股员工持股计划法律意见书,2026-03-27,2486615,9771,SCANNED_OK,员工持股法律意见书
1223934492,贵州茅台,金杜律师关于贵州茅台差异化权益分派法律意见书,2025-06-20,237681,5515,TEXT_GOOD,权益分派法律意见书
1224836309,贵州茅台,金杜律师关于贵州茅台2025年第一次临时股东大会法律意见书,2025-11-29,603446,15117,TEXT_GOOD,股东大会法律意见书
1222847512,金山办公,2024年董事会审计委员会履职情况报告,2025-03-20,275515,5682,TEXT_GOOD,董事会履职报告
1223543148,金山办公,独立董事候选人声明与承诺（方铭）,2025-05-15,228060,4027,TEXT_GOOD,独立董事声明
1223543149,金山办公,独立董事候选人声明与承诺（王一棵）,2025-05-15,640203,4017,SCANNED_OK,独立董事声明
1223543150,金山办公,独立董事候选人声明与承诺（陈丽华）,2025-05-15,344661,4253,TEXT_GOOD,独立董事声明
1223543151,金山办公,独立董事候选人声明与承诺（刘志强）,2025-05-15,301390,4239,TEXT_GOOD,独立董事声明
1223543152,金山办公,独立董事候选人声明与承诺（王建波）,2025-05-15,260938,4470,TEXT_GOOD,独立董事声明
